"personagem";"diálogo"
"HAN";"Lá está ela."
"LUKE";"See-Threepio, você copia?"
"THREEPIO";"No momento. Uh, estamos no hangar principal em frente ao navio."
"LUKE";"Estamos bem acima de você. Aguarde."
"LEIA";"Você veio naquela coisa? Você é mais corajoso do que eu pensava."
"HAN";"Legal! Vamos!"
"PRIMEIRO SOLDADO";"São eles! Destrua-os!"
"HAN";"Volte para o navio!"
"LUKE";"Onde você vai? Volte!"
"LEIA";"Ele certamente tem coragem."
"LUKE";"Que bem nos fará se ele se matar? Vamos!"
"LUKE";"Acho que pegamos o caminho errado."
"LEIA";"Não há fechadura!"
"LUKE";"Isso deve segurar por um tempo."
"LEIA";"Rápido, temos que atravessar. Encontre o controle que estende a ponte."
"LUKE";"Ah, acho que acabei de estragar tudo."
"LEIA";"Eles estão chegando!"
"LUKE";"Aqui, segure isso."
"LEIA";"Lá vêm eles!"
"LEIA";"Para dar sorte!"
"THREEPIO";"Onde eles poderiam estar?"
"TROOPER";"Feche as portas de segurança!"
"TROOPER";"Abra as portas de proteção! Abra as portas de proteção!"
"VADER";"Eu estive esperando por você, Obi-Wan. Nós nos encontramos novamente, finalmente. O círculo agora está completo."
"VADER";"Quando te deixei, eu era apenas o aprendiz; agora sou o mestre."
"BEN";"Apenas um mestre do mal, Darth."
"VADER";"Seus poderes são fracos, velho."
"BEN";"Você não pode vencer, Darth. Se você me derrubar, eu me tornarei mais poderoso do que você pode imaginar."
"HAN";"Nós não acabamos de sair desta festa?"
"HAN";"O que te prendeu?"
"LEIA";"Encontramos alguns velhos amigos."
"LUKE";"A nave está bem?"
"HAN";"Parece bom, se conseguirmos. Só espero que o velho tenha tirado o raio trator de serviço."
"LUKE";"Olha!"
"THREEPIO";"Vamos, Artoo, estamos indo!"
"HAN";"Agora é a nossa chance! Vá!"
"LUKE";"Não!"
"HAN";"Vamos!"
"LEIA";"Vamos lá! Luke, é tarde demais!"
"HAN";"Arrume a porta! Garoto!"
"BEN";"Corra, Luke! Corra!"
"HAN";"Espero que o velho tenha tirado aquele raio trator se estiver funcionando, ou esta será uma viagem bem curta. Ok, acerte!"
"HAN";"Estamos chegando nas naves sentinelas. Segure-os! Incline os escudos defletores enquanto eu carrego os canhões principais!"
"LUKE";"Eu não posso acreditar que ele se foi."
"LEIA";"Não havia nada que você pudesse ter feito."
"HAN";"Vamos, amigo, ainda não saímos dessa!"
"HAN";"Você está dentro, garoto? Ok, fique afiado!"
"LEIA";"Lá vêm eles!"
"LUKE";"Eles estão chegando rápido demais!"
"THREEPIO";"Oooh!"
"LEIA";"Perdemos os controles laterais."
"HAN";"Não se preocupe, ela vai aguentar."
"HAN";"Você me ouviu, baby? Aguente firme!"
"LUKE";"Peguei ele! Peguei ele!"
"HAN";"Ótimo garoto! Não seja arrogante."
"LEIA";"Ainda tem mais dois por aí!"
"LUKE";"É isso aí! Conseguimos!"
"LEIA";"Conseguimos!"
"THREEPIO";"Socorro! Acho que estou derretendo! Isso é tudo culpa sua."
"TARKIN";"Eles estão fora?"
"VADER";"Eles acabaram de saltar para o hiperespaço."
"TARKIN";"Tem certeza de que o sinalizador rastreador está seguro a bordo da nave deles? Estou correndo um risco terrível, Vader. É melhor que isso funcione."
"HAN";"Nada ruim de resgate, hein? Sabe, às vezes eu até me surpreendo."
"LEIA";"Isso não parece muito difícil. Além disso, eles nos deixaram ir. É a única explicação para a facilidade de nossa fuga."
"HAN";"Fácil... você chama isso de fácil?"
"LEIA";"Eles estão nos rastreando!"
"HAN";"Não este navio, irmã."
"LEIA";"Pelo menos a informação no Artoo ainda está intacta."
"HAN";"O que é tão importante? O que ele está carregando?"
"LEIA";"As leituras técnicas daquela estação de batalha. Só espero que quando os dados forem analisados, uma fraqueza possa ser encontrada. Ainda não acabou!"
"HAN";"É para mim, irmã! Olha, eu não estou nisso por sua revolução, e não estou nisso por você, princesa. Espero ser bem pago. Estou nisso. para o dinheiro!"
"LEIA";"Você não precisa se preocupar com sua recompensa. Se o dinheiro é tudo o que você ama, então é isso que você receberá!"
"LEIA";"Seu amigo é um mercenário. Eu me pergunto se ele realmente se importa com alguma coisa... ou alguém."
"LUKE";"Eu me importo!"
"LUKE";"Então... o que você acha dela, Han?"
"HAN";"Estou tentando não, garoto!"
"LUKE";"Bom..."
"HAN";"Ainda assim, ela tem muito espírito. Eu não sei, o que você acha? Você acha que uma princesa e um cara como eu..."
"LUKE";"Não!"
"WILLARD";"Você está seguro! Tínhamos temido o pior."
"WILLARD";"Quando ouvimos falar de Alderaan, ficamos com medo de que você estivesse... perdido junto com seu pai."
"LEIA";"Não temos tempo para nossas tristezas, comandante. A estação de batalha certamente nos localizou aqui. É a única explicação para a facilidade de nossa fuga. Você deve usar as informações desta unidade R2 para planejar o ataque. É nossa única esperança."
"TARKIN";"Sim."
"DEATH STAR INTERCOM VOICE";"Estamos nos aproximando do planeta Yavin. A base rebelde está em uma lua do outro lado. Estamos nos preparando para orbitar o planeta."
"DODONNA";"A estação de batalha é fortemente blindada e carrega um poder de fogo maior que a metade da frota estelar. Suas defesas são projetadas em torno de um ataque direto em grande escala. Um pequeno caça de um homem só deve ser capaz de penetrar na defesa externa ."
"LÍDER DE OURO";"Perdoe-me por perguntar, senhor, mas de que servirão os lutadores esnobes contra isso?"
"DODONNA";"Bem, o Império não considera um pequeno lutador de um homem só como uma ameaça, ou eles teriam uma defesa mais apertada. Uma análise dos planos fornecidos pela Princesa Leia demonstrou uma fraqueza no estação de batalha."
"DODONNA";"A aproximação não será fácil. Você é obrigado a manobrar direto por esta trincheira e deslizar a superfície até este ponto. A área-alvo tem apenas dois metros de largura. É uma pequena porta de exaustão térmica, logo abaixo do porto principal. O poço leva diretamente ao sistema do reator. Um golpe preciso iniciará uma reação em cadeia que deve destruir a estação.
"
"DODONNA";"Só um golpe preciso irá desencadear uma reação em cadeia. O eixo é blindado contra raios, então você terá que usar torpedos de prótons."
"WEDGE";"Isso é impossível, mesmo para um computador."
"LUKE";"Não é impossível. Eu costumava caçar ratos no meu T-16 em casa. Eles não são muito maiores do que dois metros."
"DODONNA";"Equipe suas naves! E que a Força esteja com você!"
"DEATH STAR INTERCOM VOICE";"Orbitando o planeta na velocidade máxima. A lua com a base Rebelde estará ao alcance em trinta minutos."
"VADER";"Este será um dia lembrado por muito tempo. Ele viu o fim de Kenobi e logo verá o fim da Rebelião."
"MAN";"Todas as tropas de voo, equipem suas estações. Todas as tropas de voo, equipem suas estações."
"LUKE";"Então... você recebeu sua recompensa e está indo embora?"
"HAN";"Isso mesmo, sim! Eu tenho algumas dívidas antigas que tenho que pagar com essas coisas. Mesmo se eu não tivesse, você não acha que eu seria tolo o suficiente para ficar por aqui , você? Por que você não vem com a gente? Você é muito bom em uma luta. Eu poderia usar você."
"LUKE";"Vamos! Por que você não dá uma olhada ao redor? Você sabe o que está prestes a acontecer, o que eles estão enfrentando. Eles poderiam usar um bom piloto como você. Você está virando as costas eles."
"HAN";"De que vale uma recompensa se você não estiver por perto para usá-la? Além disso, atacar aquela estação de batalha não é minha ideia de coragem. É mais como suicídio."
"LUKE";"Tudo bem. Bem, cuide-se, Han... acho que é nisso que você é melhor, não é?"
"HAN";"Ei, Luke... que a Força esteja com você!"
"HAN";"O que você está olhando? Eu sei o que estou fazendo."
"LEIA";"O que há de errado?"
"LUKE";"Ah, é o Han! Não sei, achei mesmo que ele mudaria de ideia."
"LEIA";"Ele tem que seguir seu próprio caminho. Ninguém pode escolher por ele."
"LUKE";"Eu só queria que Ben estivesse aqui."
"BIGGS";"Luke! Não acredito! Como você chegou aqui... vai sair com a gente?!"
"LUKE";"Biggs! Claro, eu estarei lá com você! Escute, eu tenho algumas histórias para contar..."
"LÍDER VERMELHO";"Você é... Luke Skywalker? Você foi verificado no Incom T-65?"
"BIGGS";"Senhor, Luke é o melhor piloto nos territórios da borda externa."
"LÍDER VERMELHO";"Encontrei seu pai uma vez quando eu era apenas um menino. Ele era um grande piloto. Você se sairá bem. Se você tiver metade da habilidade de seu pai, você se sairá melhor do que tudo bem."
"LUKE";"Obrigado, senhor. Vou tentar."
"BIGGS";"Tenho que embarcar. Escute, você vai me contar suas histórias quando voltarmos. Tudo bem?"
"LUKE";"Eu disse que um dia conseguiria, Biggs."
"BIGGS";"Você fez, tudo bem. Vai ser como nos velhos tempos Luke. Nós somos um casal de estrelas cadentes que nunca serão paradas!"
"CHEFE";"Esta sua unidade R2 parece um pouco desgastada. Quer uma nova?"
"LUKE";"Não em sua vida! Aquele pequeno dróide e eu passamos por muita coisa juntos. Você está bem, Artoo?"
"CHEFE";"Ok, ela vai com calma!"
"THREEPIO";"Aguente firme, Artoo, você tem que voltar."
"THREEPIO";"Você não gostaria que minha vida ficasse chata, não é?"
"BEN";"Luke, a Força estará com você."
"MASSASSI INTERCOM VOICE";"Alerta de prontidão. Estrela da Morte se aproximando. Tempo estimado para o campo de tiro, quinze minutos."
"LÍDER VERMELHO";"Todas as alas reportam."
"RED TEN";"Red Ten aguardando."
"RED SETE";"Red Seven aguardando."
"BIGGS";"Três Vermelhos aguardando."
"PORKINS";"Red Six aguardando."
"RED NINE";"Red Nine aguardando."
"WEDGE";"Vermelho Dois aguardando."
"RED ELEVEN";"Red Eleven aguardando."
"LUKE";"Cinco Vermelho aguardando."
"LÍDER VERMELHO";"Travar S-foils em posição de ataque."
"LÍDER VERMELHO";"Estamos passando pelo campo magnético deles."
"LÍDER VERMELHO";"Segure firme!"
"RED LEADER";"Ligue seus defletores."
"LÍDER VERMELHO";"Frente dupla!"
"CUNHA";"Olha o tamanho dessa coisa!"
"LÍDER VERMELHO";"Corta a conversa, Red Two."
"LÍDER VERMELHO";"Acelere para atacar a velocidade. É isso aí, rapazes!"
"LÍDER OURO";"Líder Vermelho, este é o Líder Ouro."
"LÍDER VERMELHO";"Eu copio, Líder Dourado."
"GOLD LEADER";"Estamos começando agora para o poço alvo."
"LÍDER VERMELHO";"Estamos em posição. Vou cortar o eixo e tentar atrair o fogo deles."
"WEDGE";"Fogo pesado, chefe! Vinte e três graus."
"LÍDER VERMELHO";"Entendo. Fique abaixado."
"LUKE";"Aqui é Red Five! Vou entrar!"
"BIGGS";"Luke, suba!"
"BIGGS";"Você está bem?"
"LUKE";"Fiquei um pouco cozinhado, mas estou bem."
"ASTRO-OFICIAL";"Contamos trinta navios rebeldes, Lord Vader. Mas eles são tão pequenos que estão fugindo de nossos turbo-lasers!"
"VADER";"Teremos que destruí-los navio a navio. Leve as tripulações para seus caças."
"LÍDER VERMELHO";"Luke, me avise quando for entrar."
"LUKE";"Já estou a caminho..."
"LÍDER VERMELHO";"Cuidado! Há muito fogo vindo do lado direito daquela torre de deflexão."
"LUKE";"Estou nisso."
"OFICIAL DE CONTROLE";"Líderes de esquadrão, captamos um novo grupo de sinais. Combatentes inimigos vindo em sua direção."
"LUKE";"Minha mira está negativa. Não vejo nada."
"LÍDER VERMELHO";"Mantenha sua varredura visual. Com toda essa interferência, eles estarão em cima de você antes que seu escopo possa captá-los."
"LÍDER VERMELHO";"Biggs! Você pegou um... cuidado!"
"BIGGS";"Não consigo ver! Onde ele está?!"
"BIGGS";"Ele está em cima de mim apertado, não posso sacudi-lo... não posso sacudi-lo."
"LUKE";"Espera aí, Biggs, estou entrando."
"LUKE";"Peguei ele!"
"VADER";"Vários lutadores se separaram do grupo principal. Venha comigo!"
"BIGGS";"Puxe! Luke... puxe!"
"WEDGE";"Cuidado, Luke!"
"WEDGE";"Cuidado com as costas! O lutador está acima de você, chegando!"
"LUKE";"Fui atingido, mas nada mal."
"LUKE";"Artoo, veja o que você pode fazer com isso. Espere aí atrás."
"LÍDER VERMELHO";"Seis Vermelhos..."
"LÍDER VERMELHO";"Você pode ver Red Five?"
"RED TEN";"Há uma zona de fogo pesado deste lado. Red Five, onde você está?"
"LUKE";"Não consigo sacudi-lo!"
"WEDGE";"Estou com ele, Luke!"
"CUNHA";"Espere!"
"LUKE";"Droga! Cale onde você está?"
"LUKE";"Obrigado, Wedge."
"BIGGS";"Bom tiro, Wedge!"
"LÍDER OURO";"Líder Vermelho..."
"GOLD LEADER";"... Este é Gold Leader. Estamos começando a corrida de ataque."
"LÍDER VERMELHO";"Eu copio, Líder Dourado. Mova-se para a posição."
"VADER";"Fique em formação de ataque!"
"GOLD LEADER";"O poste de escape é..."
"GOLD LEADER";"... marcado e bloqueado!"
"GOLD LEADER";"Mudar a alimentação para as telas de deflexão dianteiras."
"GOLD LEADER";"Quantas armas você acha, Gold Five?"
"GOLD FIVE";"Eu diria que cerca de vinte armas. Algumas na superfície, algumas nas torres."
"MASSASSI INTERCOM VOICE";"A Estrela da Morte estará ao alcance em cinco minutos."
"GOLD LEADER";"Mudar para computador de segmentação."
"GOLD TWO";"O computador está bloqueado. Obtendo um sinal."
"GOLD TWO";"As armas... eles pararam!"
"GOLD FIVE";"Estabilize seus defletores traseiros. Fique atento aos caças inimigos."
"LÍDER OURO";"Eles estão chegando! Três marcos às duas e dez."
"VADER";"Vou levá-los eu mesmo! Cubra-me!"
"WINGMAN";"Sim, senhor."
"LÍDER DE OURO";"Não consigo manobrar!"
"CINCO DE OURO";"Mantenha-se no alvo."
"LÍDER DE OURO";"Estamos muito perto."
"CINCO DE OURO";"Mantenha-se no alvo!"
"LÍDER DE OURO";"Afrouxe!"
"CINCO DE OURO";"Cinco de Ouro para Líder Vermelho..."
"GOLD FIVE";"Perdeu Tiree, perdeu Dutch."
"LÍDER VERMELHO";"Eu copio, Gold Five."
"GOLD FIVE";"Eles vieram por trás..."
"OFICIAL";"Analisamos o ataque deles, senhor, e há um perigo. Devo ter sua nave de prontidão?"
"TARKIN";"Evacuar? Em nosso momento de triunfo? Acho que você superestima as chances deles!"
"VOZ";"Base rebelde, três minutos e fechando."
"LÍDER VERMELHO";"Grupo Vermelho, este é o Líder Vermelho."
"LÍDER VERMELHO";"Encontro na marca seis ponto um."
"WEDGE";"Este é o Vermelho Dois. Voando em sua direção."
"BIGGS";"Três Vermelhos, aguardando."
"DODONNA";"Líder Vermelho, aqui é a Base Um. Mantenha metade do seu grupo fora do alcance para a próxima corrida."
"LÍDER VERMELHO";"Cópia, Base Um. Luke, pegue o Vermelho Dois e Três. Fique aqui e espere pelo meu sinal... para começar sua corrida."
"LÍDER VERMELHO";"É isso!"
"RED TEN";"Devemos ser capazes de vê-lo agora."
"LÍDER VERMELHO";"Mantenha os olhos abertos para esses lutadores!"
"RED TEN";"Há muita interferência!"
"RED TEN";"Red Five, você pode vê-los de onde você está?"
"LUKE";"Nenhum sinal de qualquer... espere!"
"LUKE";"Chegando no ponto três e cinco."
"RED TEN";"Eu os vejo."
"LÍDER VERMELHO";"Estou ao alcance."
"LÍDER VERMELHO";"O alvo está chegando!"
"LÍDER VERMELHO";"Apenas segure-os por alguns segundos."
"VADER";"Formação aproximada."
"LÍDER VERMELHO";"Quase lá!"
"RED TEN";"É melhor você soltá-la."
"LÍDER VERMELHO";"Quase lá!"
""RED TEN";"Eu não posso segurá-los!"
"LÍDER VERMELHO";"Está fora!"
"RED NINE";"É um sucesso!"
"LÍDER VERMELHO";"Negativo."
"RED LEADER";"Negativo! Não entrou, apenas atingiu a superfície."
"LUKE";"Líder Vermelho, estamos bem acima de você. Vire para apontar..."
"LUKE";"... oh-cinco; nós cobrimos para você."
"LÍDER VERMELHO";"Fique aí..."
"RED LEADER";"... Acabei de perder meu motor de estibordo."
"LÍDER VERMELHO";"Prepare-se para sua corrida de ataque."
"DEATH STAR INTERCOM VOICE";"Base rebelde, um minuto e fechando."
"LUKE";"Biggs, Wedge, vamos fechar. Vamos entrar. Vamos a todo vapor."
"WEDGE";"Certo com você, chefe."
"BIGGS";"Luke, a essa velocidade você será capaz de sair a tempo?"
"LUKE";"Vai ser igual ao Beggars Canyon em casa."
"BIGGS";"Nós vamos ficar longe o suficiente para cobrir você."
"WEDGE";"Minha mira mostra a torre, mas não consigo ver a saída de exaustão! Tem certeza de que o computador pode atingi-la?"
"LUKE";"Cuidado! Aumente a velocidade a todo vapor!"
"CUNHA";"E aquela torre?"
"LUKE";"Você se preocupa com esses lutadores! Eu me preocupo com a torre!"
"LUKE";"Artoo... isso, aquele estabilizador está solto de novo! Veja se você não consegue travar!"
"WEDGE";"Fui atingido! Não posso ficar com você."
"LUKE";"Afaste-se, Wedge."
"LUKE";"Você não pode fazer mais bem lá atrás!"
"CUNHA";"Desculpe!"
"VADER";"Deixe-o ir! Fique no líder!"
"BIGGS";"Depressa, Luke, eles estão chegando muito mais rápido desta vez. Eu não posso segurá-los!"
"LUKE";"Artoo, tente aumentar o poder!"
"BIGGS";"Apresse-se, Luke!"
"BIGGS";"Espere!"
"DEATH STAR INTERCOM VOICE";"Base rebelde, trinta segundos e fechando."
"VADER";"Estou no líder."
"THREEPIO";"Espera aí, Artoo!"
"BEN";"Use a Força, Luke."
"BEN";"Solte, Luke."
"VADER";"A Força é forte com este!"
"BEN";"Luke, confie em mim."
"VOZ BASE";"O computador dele está desligado. Luke, você desligou o computador de mira. O que há de errado?"
"LUKE";"Nada. Estou bem."
"LUKE";"Perdi Artoo!"
"MASSASSI INTERCOM VOICE";"A Estrela da Morte limpou o planeta. A Estrela da Morte limpou o planeta."
"VOZ DE INTERCOM DA ESTRELA DA MORTE";"Base rebelde, ao alcance."
"TARKIN";"Você pode atirar quando estiver pronto."
"DEATH STAR INTERCOM VOICE";"Iniciar a ignição primária."
"VADER";"Eu tenho você agora."
"VADER";"O quê?"
"HAN";"Yahoo!"
"WINGMAN";"Cuidado!"
"HAN";"Você está bem, garoto."
"HAN";"Agora vamos explodir essa coisa e ir para casa!"
"VOZ DE INTERCOM";"Aguarde para atirar na base Rebelde."
"VOZ INTERCOM";"Aguardando."
"HAN";"Grande foto, garoto. Essa foi uma em um milhão."
"BEN";"Lembre-se, a Força estará com você... sempre."
"LEIA";"Luke! Luke! Luke!"
"HAN";"Ei! Ei!"
"LUKE";"Eu sabia que você voltaria! Eu sabia!"
"HAN";"Bem, eu não ia deixar você ficar com todo o crédito e ficar com toda a recompensa."
"LEIA";"Ei, eu sabia que você era mais do que dinheiro."
"LUKE";"Ah, não!"
"THREEPIO";"Oh, meu Deus! Artoo! Você pode me ouvir? Diga alguma coisa! Você pode consertá-lo, não pode?"
"TÉCNICO";"Vamos trabalhar nele imediatamente."
"THREEPIO";"Você deve consertá-lo! Senhor, se algum dos meus circuitos ou engrenagens ajudar, eu os doarei com prazer."
"LUKE";"Ele vai ficar bem."
